name,date,id
Orel Sambrano ,2009-01-16,VEN
Uma Singh ,2009-01-11,NPL
Lasantha Wickramatunga ,2009-01-08,LKA
Basil Ibrahim Faraj ,2009-01-07,ISR
Tahir Awan ,2009-01-04,PAK
Mohammad Imran ,2009-01-04,PAK
Francis Nyaruri ,2009-01-01,KEN
Hassan Mayow Hassan ,2009-01-01,SOM
Vikas Ranjan ,2008-11-25,IND
José Armando Rodríguez Carreón ,2008-11-13,MEX
Abdul Razzak Johra ,2008-11-03,PAK
Ivo Pukanic ,2008-10-23,HRV
Rashmi Mohamed ,2008-10-06,LKA
Jaruek Rangcharoen ,2008-09-27,THA
Alejandro Zenón Fonseca Estrada ,2008-09-24,MEX
Musab Mahmood al-Ezawi ,2008-09-13,IRQ
Ahmed Salim ,2008-09-13,IRQ
Ihab Mu'd ,2008-09-13,IRQ
Telman (Abdulla) Alishayev ,2008-09-02,RUS
Magomed Yevloyev ,2008-08-31,RUS
Abdul Aziz Shaheen ,2008-08-29,PAK
Chalee Boonsawat ,2008-08-21,THA
Javed Ahmed Mir ,2008-08-13,IND
Stan Storimans ,2008-08-12,GEO
Alexander Klimchuk ,2008-08-10,GEO
Grigol Chikhladze ,2008-08-10,GEO
Dennis Cuesta ,2008-08-09,PHL
Martin Roxas ,2008-08-07,PHL
Athiwat Chaiyanurat ,2008-08-01,THA
Soran Mama Hama ,2008-07-21,IRQ
Khem Sambo ,2008-07-11,KHM
Mohieldin Al Naqeeb ,2008-06-17,IRQ
Abdul Samad Rohani ,2008-06-07,AFG
Nasteh Dahir Farah ,2008-06-07,SOM
Paranirupasingham Devakumar ,2008-05-28,LKA
Mohammed Ibrahim ,2008-05-22,PAK
Haidar al-Hussein ,2008-05-22,IRQ
Wissam Ali Ouda ,2008-05-21,IRQ
Ashok Sodhi ,2008-05-11,IND
Sarwa Abdul-Wahab ,2008-05-04,IRQ
Jassim al-Batat ,2008-04-25,IRQ
Fadel Shana ,2008-04-16,ISR
Mohammed Muslimuddin ,2008-04-01,IND
Carlos Quispe Quispe ,2008-03-29,BOL
Siraj Uddin ,2008-02-29,PAK
Shihab al-Tamimi ,2008-02-27,IRQ
Chishti Mujahid ,2008-02-09,PAK
Alaa Abdul-Karim al-Fartoosi ,2008-01-29,IRQ
Hassan Kafi Hared ,2008-01-28,SOM
Carsten Thomassen ,2008-01-15,AFG
Suresh Linbiyo ,2007-11-27,LKA
T. Tharmalingam ,2007-11-27,LKA
Isaivizhi Chempiyan ,2007-11-27,LKA
Zubair Ahmed Mujahid ,2007-11-23,PAK
Shehab Mohammad al-Hiti ,2007-10-28,IRQ
Alisher Saipov ,2007-10-24,KGZ
Bashiir Noor Gedi ,2007-10-19,SOM
Muhammad Arif ,2007-10-19,PAK
Carlos Salgado ,2007-10-18,HND
Salih Saif Aldin ,2007-10-14,IRQ
